Scenario,Approach,Rank,Chkpt ID,Number of Chkpts,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
AsiaOSM,Full,0,6,10,64,3489621044,3489621044,4007657472,3448378683.2318125,1.0,1.011959928
AsiaOSM,Full,0,6,10,64,3489621044,3489621044,4007657472,3360901484.80787,1.0,1.038299117
AsiaOSM,Full,0,6,10,64,3489621044,3489621044,4007657472,3405051276.849352,1.0,1.024836562
AsiaOSM,Basic,0,6,10,64,3489621044,76569732,8596226048,31044279127.02405,45.5744189361927,0.112407862
AsiaOSM,Basic,0,6,10,64,3489621044,76569732,8596226048,30363062846.793186,45.5744189361927,0.11492981
AsiaOSM,Basic,0,6,10,64,3489621044,76569732,8596226048,31627446479.84683,45.5744189361927,0.110335213
AsiaOSM,List,0,6,10,64,3489621044,37810148,8919187456,137888400765.38348,92.29323947634376,0.025307575
AsiaOSM,List,0,6,10,64,3489621044,37810148,8919187456,117361155050.65273,92.29323947634376,0.029734038
AsiaOSM,List,0,6,10,64,3489621044,37810148,8919187456,93192629868.35152,92.29323947634376,0.037445247
AsiaOSM,TreeLowOffset,0,6,10,64,3489621044,35728288,11733565440,108937930696.90105,97.67109591145257,0.032033113
AsiaOSM,TreeLowOffset,0,6,10,64,3489621044,35728288,11733565440,116008402978.90071,97.67109591145257,0.030080760999999998
AsiaOSM,TreeLowOffset,0,6,10,64,3489621044,35728288,11733565440,109051857195.42915,97.67109591145257,0.031999648
AsiaOSM,Full,0,7,10,64,3489621044,3489621044,4007657472,3460639887.5763726,1.0,1.008374508
AsiaOSM,Full,0,7,10,64,3489621044,3489621044,4007657472,3423219577.0039515,1.0,1.019397373
AsiaOSM,Full,0,7,10,64,3489621044,3489621044,4007657472,3416078627.247841,1.0,1.021528315
AsiaOSM,Basic,0,7,10,64,3489621044,83806496,8596226048,30428877549.16611,41.63902812497972,0.114681228
AsiaOSM,Basic,0,7,10,64,3489621044,83806496,8596226048,30334360629.491905,41.63902812497972,0.115038556
AsiaOSM,Basic,0,7,10,64,3489621044,83806496,8596226048,30343898081.151314,41.63902812497972,0.115002398
AsiaOSM,List,0,7,10,64,3489621044,40714920,8919187456,125104492201.46907,85.70865530375598,0.027893651000000002
